LocationID,zone_name,borough,lat,lon
4,Alphabet City,Manhattan,40.72375208451233,-73.97696827424141
12,Battery Park,Manhattan,40.70294582144012,-74.01556349991374
13,Battery Park City,Manhattan,40.712037924667264,-74.01607927269924
24,Bloomingdale,Manhattan,40.80197051563418,-73.96547935663406
41,Central Harlem,Manhattan,40.804333857858566,-73.95129204385638
42,Central Harlem North,Manhattan,40.8182572500734,-73.94077208625764
43,Central Park,Manhattan,40.78247701262984,-73.96555540550199
45,Chinatown,Manhattan,40.712459285136994,-73.99815145865519
48,Clinton East,Manhattan,40.76225259858687,-73.98984489812494
50,Clinton West,Manhattan,40.76623762332451,-73.99513534858681
68,East Chelsea,Manhattan,40.7484273300986,-73.99991779023728
74,East Harlem North,Manhattan,40.80116912880846,-73.9373456595586
75,East Harlem South,Manhattan,40.79001067629398,-73.94575022751276
79,East Village,Manhattan,40.727620122038296,-73.98593745737395
87,Financial District North,Manhattan,40.706808425516016,-74.00749595416085
88,Financial District South,Manhattan,40.70335788054845,-74.0115150281245
90,Flatiron,Manhattan,40.742278583312206,-73.99697147759031
100,Garment District,Manhattan,40.75351274051303,-73.98878660966813
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.69011195549792,-74.02355185867818
107,Gramercy,Manhattan,40.73682398302768,-73.98405214924436
113,Greenwich Village North,Manhattan,40.732579026253674,-73.9943047162786
114,Greenwich Village South,Manhattan,40.72834036831643,-73.9973801630823
116,Hamilton Heights,Manhattan,40.82701260635661,-73.94852183123933
120,Highbridge Park,Manhattan,40.8466669452917,-73.9301832301702
125,Hudson Sq,Manhattan,40.72629040399525,-74.0074858070925
127,Inwood,Manhattan,40.866074893138844,-73.9193084235328
128,Inwood Hill Park,Manhattan,40.872378832666904,-73.92436989163414
137,Kips Bay,Manhattan,40.74043892115907,-73.97649469938301
140,Lenox Hill East,Manhattan,40.76548395144242,-73.9547390603464
141,Lenox Hill West,Manhattan,40.76694805479654,-73.95963501136171
142,Lincoln Square East,Manhattan,40.773633196128905,-73.98153235360773
143,Lincoln Square West,Manhattan,40.775965147319646,-73.9876456908124
144,Little Italy/NoLiTa,Manhattan,40.72088884086805,-73.99691858884708
148,Lower East Side,Manhattan,40.718938301131104,-73.99089636602756
151,Manhattan Valley,Manhattan,40.79796198028393,-73.96816820440951
152,Manhattanville,Manhattan,40.81797510016546,-73.95378220824486
153,Marble Hill,Manhattan,40.875967791801536,-73.91037864632285
158,Meatpacking/West Village West,Manhattan,40.7350351831651,-74.00898419902498
161,Midtown Center,Manhattan,40.758027981780664,-73.97769803041939
162,Midtown East,Manhattan,40.756687537617346,-73.97235615813489
163,Midtown North,Manhattan,40.7644214387746,-73.97756856896713
164,Midtown South,Manhattan,40.74857453693654,-73.98515644835915
166,Morningside Heights,Manhattan,40.80945681703888,-73.96176369363279
170,Murray Hill,Manhattan,40.74774573203895,-73.97849158432054
186,Penn Station/Madison Sq West,Manhattan,40.74849716576957,-73.99243754419264
194,Randalls Island,Manhattan,40.79100048638123,-73.92459671825748
202,Roosevelt Island,Manhattan,40.761899335777855,-73.94995272044949
209,Seaport,Manhattan,40.70907271927832,-74.00366448904686
211,SoHo,Manhattan,40.723888072060404,-74.00153759512791
224,Stuy Town/Peter Cooper Village,Manhattan,40.73182059189006,-73.97659759721292
229,Sutton Place/Turtle Bay North,Manhattan,40.75672890813223,-73.96514581878095
230,Times Sq/Theatre District,Manhattan,40.759817566309465,-73.98419655675737
231,TriBeCa/Civic Center,Manhattan,40.717772624799224,-74.0078796687525
232,Two Bridges/Seward Park,Manhattan,40.71473247007343,-73.98302469110321
233,UN/Turtle Bay South,Manhattan,40.74991400028384,-73.97044261148469
234,Union Sq,Manhattan,40.74033737258096,-73.9904579133977
236,Upper East Side North,Manhattan,40.78043629001211,-73.95701192571859
237,Upper East Side South,Manhattan,40.76861505664575,-73.96563472764679
238,Upper West Side North,Manhattan,40.79170489453925,-73.9730488247599
239,Upper West Side South,Manhattan,40.78396140232239,-73.97863191501314
243,Washington Heights North,Manhattan,40.857108002782724,-73.93283170504228
244,Washington Heights South,Manhattan,40.84170843286747,-73.94139929841424
246,West Chelsea/Hudson Yards,Manhattan,40.75330875946255,-74.00401551098165
249,West Village,Manhattan,40.73457589628757,-74.00287502314927
261,World Trade Center,Manhattan,40.709138876288186,-74.01302283778836
262,Yorkville East,Manhattan,40.77593230221761,-73.94651047848446
263,Yorkville West,Manhattan,40.77876573980772,-73.9510100659439
